fundingRateTimestamp,,symbol,fundingRate
2024-01-04 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-04 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-04 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-04 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-04 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-04 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-05 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-05 00:00:00,BNBUSDT,BNBUSDT,-0.00051493
2024-01-05 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-05 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-05 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-05 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-05 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-05 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-05 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-05 08:00:00,BNBUSDT,BNBUSDT,-0.00056432
2024-01-05 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-05 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-05 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-05 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-05 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-05 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-05 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-05 16:00:00,BNBUSDT,BNBUSDT,-0.0008996
2024-01-05 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-05 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-05 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-05 16:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-05 16:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-05 16:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-06 00:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-06 00:00:00,BNBUSDT,BNBUSDT,-0.00105637
2024-01-06 00:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-06 00:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-06 00:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-06 00:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-06 00:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-06 00:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-06 08:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-06 08:00:00,BNBUSDT,BNBUSDT,-0.00058131
2024-01-06 08:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-06 08:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-06 08:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-06 08:00:00,MASKUSDT,MASKUSDT,0.0001
2024-01-06 08:00:00,SOLUSDT,SOLUSDT,0.0001
2024-01-06 08:00:00,XRPUSDT,XRPUSDT,0.0001
2024-01-06 16:00:00,AAVEUSDT,AAVEUSDT,0.0001
2024-01-06 16:00:00,BNBUSDT,BNBUSDT,-0.00058776
2024-01-06 16:00:00,BTCUSDT,BTCUSDT,0.0001
2024-01-06 16:00:00,DOGEUSDT,DOGEUSDT,0.0001
2024-01-06 16:00:00,ETHUSDT,ETHUSDT,0.0001
2024-01-06 16:00:00,MASKUSDT,MASKUSDT,0.0001
